,Drates,Cluster,samp_rate,assay_rate
0,0.0323,100.0,0.5278,0.059854956150469166
1,0.0326,50.0,0.5184,0.05986565637489837
2,0.0318,25.0,0.5184,0.059855096788895376
3,0.03,12.5,0.5065,0.06079515792851475
4,0.029,6.25,0.488,0.06282284201095625
5,0.0305,3.125,0.4466,0.06572729484040377
6,0.0284,1.5625,0.3677,0.07792488282818515
7,0.0302,0.78125,0.2647,0.11750322610889129
8,0.0411,0.390625,0.154,0.26442308496294215
9,0.0551,0.1953125,0.0866,0.6370601803612518
10,0.042,0.09765625,0.0429,0.9737356349076899
