,Drates,Cluster
0,0.021,100.0
1,0.0225,50.0
2,0.0229,25.0
3,0.0316,12.5
4,0.0398,6.25
5,0.0297,3.125
6,0.0154,1.5625
7,0.0073,0.78125
8,0.0039,0.390625
9,0.001,0.1953125
10,0.0004,0.09765625
