,Drates,Cluster,samp_rate,assay_rate
0,0.3722,100.0,0.9694,0.38458312391939775
1,0.3669,50.0,0.9547,0.3870901590442366
2,0.3954,25.0,0.9239,0.4295995577898612
3,0.4889,12.5,0.8461,0.5704694996104587
4,0.5666,6.25,0.6893,0.8190286971847838
5,0.4758,3.125,0.4826,0.9853420740520754
6,0.288,1.5625,0.288,0.9999878477140547
7,0.157,0.78125,0.157,0.9999999999918453
8,0.0842,0.390625,0.0842,1.0
9,0.0439,0.1953125,0.0439,1.0
10,0.021,0.09765625,0.021,1.0
