,Drates,Cluster,samp_rate,assay_rate
0,0.381,100.0,0.973,0.39070355396428147
1,0.376,50.0,0.956,0.3773469851433263
2,0.403,25.0,0.933,0.4244589355293221
3,0.473,12.5,0.832,0.5704308101439225
4,0.548,6.25,0.679,0.8161925730146133
5,0.487,3.125,0.493,0.9874554289263838
6,0.293,1.5625,0.293,0.9999777391477646
7,0.171,0.78125,0.171,0.9999999999988465
8,0.079,0.390625,0.079,1.0
9,0.039,0.1953125,0.039,1.0
10,0.014,0.09765625,0.014,1.0
