,Drates,Cluster,samp_rate,assay_rate
0,0.3958,100.0,1.0,0.3889331043125455
1,0.4213,50.0,0.9971,0.4206927671603007
2,0.5364,25.0,0.9405,0.5607993721430928
3,0.607,12.5,0.7302,0.8298663534962114
4,0.4736,6.25,0.4787,0.9907822236071516
5,0.2733,3.125,0.2733,0.9999962734946878
6,0.1435,1.5625,0.1435,0.9999999999996984
7,0.0781,0.78125,0.0781,1.0
8,0.0391,0.390625,0.0391,1.0
9,0.0152,0.1953125,0.0152,1.0
10,0.0079,0.09765625,0.0079,1.0
