,Drates,Cluster,samp_rate,assay_rate
0,0.0161,100.0,0.3359,0.05131388871559784
1,0.0158,50.0,0.3354,0.051861827644422265
2,0.0171,25.0,0.3159,0.05293777558227117
3,0.0156,12.5,0.2895,0.055404782482147516
4,0.0152,6.25,0.2593,0.06261420823522429
5,0.0147,3.125,0.2131,0.0781996658532746
6,0.0206,1.5625,0.1432,0.1357397441542552
7,0.0239,0.78125,0.0757,0.3448824799426444
8,0.032,0.390625,0.04,0.7820795283961688
9,0.0215,0.1953125,0.0217,0.9931309627207409
10,0.009,0.09765625,0.009,0.9999981046372588
