"","Drates","Cluster","samp_rate","assay_rate","Level","Type"
"68",0.0326,"50",0.5184,0.0598656563748984,"Contamination - Low","Produce Testing 45 samples - End"
"69",0.0318,"25",0.5184,0.0598550967888954,"Contamination - Low","Produce Testing 45 samples - End"
"70",0.03,"12.5",0.5065,0.0607951579285147,"Contamination - Low","Produce Testing 45 samples - End"
"71",0.029,"6.2",0.488,0.0628228420109563,"Contamination - Low","Produce Testing 45 samples - End"
"72",0.0305,"3.1",0.4466,0.0657272948404038,"Contamination - Low","Produce Testing 45 samples - End"
"73",0.0284,"1.6",0.3677,0.0779248828281851,"Contamination - Low","Produce Testing 45 samples - End"
"74",0.0302,"0.8",0.2647,0.117503226108891,"Contamination - Low","Produce Testing 45 samples - End"
"75",0.0411,"0.4",0.154,0.264423084962942,"Contamination - Low","Produce Testing 45 samples - End"
"76",0.0551,"0.2",0.0866,0.637060180361252,"Contamination - Low","Produce Testing 45 samples - End"
"77",0.042,"0.1",0.0429,0.97373563490769,"Contamination - Low","Produce Testing 45 samples - End"
"78",0.6306,"100",1,0.63653217086852,"Contamination - High","Produce Testing 45 samples - End"
"79",0.6329,"50",1,0.628615625646788,"Contamination - High","Produce Testing 45 samples - End"
"80",0.6623,"25",1,0.658019868522365,"Contamination - High","Produce Testing 45 samples - End"
"81",0.7556,"12.5",0.9974,0.762189988212188,"Contamination - High","Produce Testing 45 samples - End"
"82",0.8481,"6.2",0.9437,0.897528549478635,"Contamination - High","Produce Testing 45 samples - End"
"83",0.7529,"3.1",0.7624,0.989824062862398,"Contamination - High","Produce Testing 45 samples - End"
"84",0.5054,"1.6",0.5054,0.999985366288408,"Contamination - High","Produce Testing 45 samples - End"
"85",0.2999,"0.8",0.2999,0.999999999993914,"Contamination - High","Produce Testing 45 samples - End"
"86",0.162,"0.4",0.162,1,"Contamination - High","Produce Testing 45 samples - End"
"87",0.0788,"0.2",0.0788,1,"Contamination - High","Produce Testing 45 samples - End"
"88",0.0422,"0.1",0.0422,1,"Contamination - High","Produce Testing 45 samples - End"
